number,name,diameter (km),Period (h),a (AU),e,slow,a_mean
6,Hebe,229.29,7.274467,2.4253,0.1588,False,2.394524814708595
7,Iris,262.69,7.138843,2.3857,0.2126,False,2.3311612626740277
8,Flora,147.68,12.86667,2.2015,0.1453,False,2.178136898154888
9,Metis,222.65,5.079176,2.3864,0.1279,False,2.366800661178141
10,Hygiea,454.53,13.82559,3.1418,0.1358,False,3.1126952183287275
11,Parthenope,159.11,13.72205,2.4523,0.0746,False,2.44546675878187
12,Victoria,136.9,8.66034,2.3342,0.1751,False,2.2981381362208633
13,Egeria,235.06,7.046665,2.5763,0.1265,False,2.5556035703892332
14,Irene,155.4,15.02986,2.5875,0.1987,False,2.535906182498859
15,Eunomia,286.49,6.082752,2.6436,0.1489,False,2.614129831719427
16,Psyche,288.29,4.195948,2.9221,0.1029,False,2.9065886341243528
17,Thetis,95.85,12.26603,2.4711,0.138,False,2.4474570807801226
18,Melpomene,155.84,11.57031,2.2958,0.178,False,2.2591371928181427
19,Fortuna,227.74,7.443222,2.442,0.1349,False,2.4196782104846837
20,Massalia,155.04,8.09902,2.4086,0.1619,False,2.3768237487303354
21,Lutetia,117.39,8.168269,2.4353,0.1294,False,2.4148251586941125
22,Kalliope,196.0,4.1482,2.9096,0.0879,False,2.8983378224984846
23,Thalia,120.0,12.31241,2.6278,0.2547,False,2.5411354679598577
24,Themis,215.0,8.374187,3.1345,0.1534,False,3.09740061168663
25,Phocaea,97.99,9.935397,2.4002,0.2267,False,2.3377099166427566
26,Proserpina,100.68,13.10977,2.6557,0.1198,False,2.6365737705730554
27,Euterpe,122.64,10.40828,2.347,0.1859,False,2.3060886669785075
28,Bellona,146.69,15.70785,2.7774,0.1789,False,2.7325929345580438
29,Amphitrite,231.21,5.390119,2.5543,0.0738,False,2.5473345820221818
30,Urania,114.0,13.68717,2.3656,0.105,False,2.352523487971162
31,Euphrosyne,302.09,5.529594,3.1552,0.2084,False,3.0859234191554488
32,Pomona,86.6,9.44767,2.587,0.1122,False,2.570664762210359
