period,diameter.value
27.893115763,22.225
3.586295966,4.639
12.147345146,25.777
17.415427738,7.956
4.148567584,14.52
3.561357905,6.023
3.82773051,1.838
181.784129558,4.209
5.153742441,2.046
8.822052324,16.916
5.188563793,4.979
5.469941512,4.024
261.336401418,3.613
136.95923349,7.49
5.841559127,11.802
6.83943052,4.581
22.559614245,6.274
3.618722871,7.127
48.896651607,4.746
155.296584194,3.003
13.676217429,7.796999999999999
10.237405551,7.522999999999999
216.723351746,4.34
3.078874779,12.1
136.198551692,4.604
80.318751229,7.8
11.888444317,215.134
14.907942629,5.23
5.474528426,8.673
78.735637803,2.69
580.802005768,1.899
2.072160555,5.502
23.166301179,4.364
5.904277675,6.739
10.392780348,3.239
7.140252142,26.5
26.253999495,11.484000000000002
27.816307915,15.685
5.178136163,3.1289999999999996
13.248515612,7.05
3.524193603,8.915
11.821689531,10.582
56.049344566,2.569
3.652297288,8.181
37.733500881,2.144
162.469525975,3.51
3.953490023,9.105
160.363832404,2.789
50.710491562,21.538
13.213257111,7.586999999999998
70.924158392,2.852
4.816361901,3.06
19.328991482,6.603
191.388233113,6.853
294.432171881,4.46
11.9390007,8.772
231.620241902,19.551
2.809267409,4.161
124.623459912,10.235
9.188427377,3.838
143.707465479,6.13
5.54917978,7.089
291.747486161,12.995999999999999
2.004621096,6.77
3.283168027,8.034
23.726474704,4.372
7.042136286,3.781
7.488208557,5.921
8.110627969,3.954
3.159769617,7.824
6.119986536,16.496
37.336546409,14.622
12.978230248,4.472
9.377520059,8.624
13.447074096,3.222
254.509915296,5.778
3.560751732,5.499
2.290927751,3.589
3.919227101,8.746
5.556019028,32.285
6.058905225,7.353
6.794748226,46.705
16.667915453,4.397
3.961764211,4.581
3.594845901,2.964
36.368847733,7.929
5.766395058,2.468
4.418874729,3.13
44.907202522,3.023
292.497263789,2.634
5.820764228,10.276
283.343334884,6.93
13.566956104,2.003
17.57257394,2.936
90.124793068,9.2
4.787271523,2.582
4.194958862,13.290999999999999
10.281996239,3.833
5.778250141,33.394
22.916127671,22.195
3.557439214,7.034
59.102492147,4.204
5.473869237,22.3
88.340900645,3.105
2.811350352,3.261
5.719161125,10.261
5.213003664,5.456
6.033389539,2.02
3.605783845,21.983
18.939358441,10.559
200.456755118,5.244
16.945643803,12.317
44.726685465,2.406
2.638027002,3.965
18.177453261,2.766
75.419924916,4.835
121.029575927,9.756
76.172665477,1.645
3.243351615,8.349999999999998
67.311798131,22.353
253.642398373,4.479
9.363564748,2.942
4.935473575,2.699
15.118684909,7.772
9.658304235,3.24
2.261217167,6.896
133.774467717,7.752
27.592375192,5.289
5.172682993,3.421
6.086609337,4.201
97.737099681,1.643
3.815063311,2.0
29.574744887,6.24
4.340250643,5.384
275.486768445,6.665
10.159765012,2.074
2.318192595,12.845999999999998
263.396888012,11.372
20.933933211,3.627
248.902095639,4.846
3.228643512,6.867000000000001
192.683077239,3.688
8.3924098,4.836
170.592075526,8.537
14.552049341,9.4
243.142287488,6.105
35.515012606,6.678
50.140057894,3.937
631.218123844,4.6
3.893027156,8.215999999999998
6.145515167,5.408
23.761311013,3.729
15.944437579,9.86
2.612623051,2.948
3.376981452,9.589
4.354716823,11.149
73.287196833,8.316
14.057845611,6.853
44.29900103,6.669
11.007437187,12.248
273.35287507,4.458
10.976014269,6.769
36.255317191,3.034
153.588846195,12.0
18.896012651,4.853
25.782845605,6.115
12.106597434,5.318
7.614469366,7.957
13.627606771,2.02
36.683028212,5.782
17.125241193,25.509
50.898253357,8.699999999999998
8.010588144,3.9760000000000004
143.227230199,41.022
4.667644064,7.59
6.800836149,4.935
5.787752593,4.751
52.651244896,3.904
3.034341718,5.242000000000001
126.260122687,3.694
9.016058413,10.213
17.580863599,6.382999999999999
16.265314401,18.4
8.340753967,7.223
258.800157127,4.294
202.522659937,10.494000000000002
12.608692851,4.349
14.619592862,6.331
5.756068553,13.279000000000002
42.251198384,4.514
58.033709242,34.7
117.902276915,2.89
3.315902759,4.458
537.987547651,5.405
235.946269749,5.029
142.706921132,8.474
7.877319048,6.364
250.178192293,21.56
8.570569454,7.57
85.176205257,3.1489999999999996
23.073095338,2.042
32.559245115,84.0
19.301920291,55.2
11.594146749,7.54
9.301415509,5.386
2.251608292,1.62
19.757749884,5.327000000000001
7.444781939,2.239
110.851092828,8.181
5.285830969,6.491
22.75070556,7.671
8.054392292,3.929
7.661243284,6.54
126.545675664,8.024
13.077624835,56.905
5.580667397,6.373
18.659785321,7.597
5.329971183,4.71
62.029805676,17.81
78.774633356,5.513
360.186938045,9.783
5.112489399,9.351
6.4003022,5.857
42.031986388,2.717
11.170517959,12.880999999999998
300.725015184,4.256
34.183338303,11.193
6.670106652,2.696
81.24952268,13.269
3.490841199,6.876
4.045184103,6.331
60.763504737,3.014
5.995149536,1.7819999999999998
9.655302409,6.885
78.325076788,6.231
55.501263835,5.835
403.506215837,4.69
11.825678968,29.186
2.905417167,7.349999999999999
12.989716297,5.53
27.657413716,77.04399999999998
5.93734166,5.79
6.964781368,4.239
9.512186414,16.5
36.839822269,9.864
5.587726841,2.977
4.468813328,2.206
192.555101183,6.169
210.837918526,3.7
7.72554097,5.903
273.930233126,1.962
20.017495925,3.329
2.203922272,6.044
5.067473062,9.141
16.032322294,28.125
46.384728762,16.386
8.365332439,5.02
47.476286987,20.152
60.500425246,5.91
164.974776959,8.3
5.795872381,3.535
44.717333759,6.088
24.662929245,9.485
7.223506575,13.569
16.95722891,4.536
77.832899115,4.319
5.432349222,5.41
128.70163609,2.107
27.001001132,7.376
5.332238547,7.303
7.458274367,7.087
106.2184935,2.672
28.138260204,3.032
6.118271613,6.757999999999999
34.127865416,2.758
6.965505713,9.922
12.30365216,4.8
15.10296588,7.468
204.635631602,3.724
153.659420624,2.506
11.400615307,11.767
2.773436822,6.98
20.518685256,12.1
29.773917006,20.3
8.855458206,4.258
54.713564941,4.404
11.245213772,18.953
3.914306767,8.984999999999998
5.619119024,6.108
3.676254517,6.544
4.70629306,6.607
5.653549872,9.48
11.282912047,9.5
54.475879812,2.359
61.75375744,19.56
76.036683969,43.50899999999999
11.35906691,13.991
6.817259657,3.707
12.146022538,3.861
13.8827145,7.772
15.430563339,5.737
7.188405033,1.794
4.74129358,4.911
11.580182311,6.406
142.666167238,4.253
6.066036864,4.259
18.059286551,23.406999999999996
43.835875481,7.361
2.03596015,3.691
12.266365898,5.407
3.845589869,8.356
7.312477726,5.705
5.091485853,4.844
249.279977567,0.564
49.922116993,2.967
8.241242648,4.018
12.337895685,5.085
31.765807628,7.085
13.329739243,3.799
40.744714607,6.054
37.938382314,5.43
7.176339618,18.554
15.9578977,6.075
97.914611786,3.03
91.749433273,5.891
3.295666969,7.437
12.856064983,5.117
22.410450796,9.077
101.24154487,5.22
51.678387796,6.359
141.973344974,10.103
13.323265176,6.733
8.158434374,8.04
9.10491162,3.0
136.484027593,2.434
22.150858643,9.915
8.492932711,3.914
2.032448471,4.339
10.353940292,4.35
239.87716703,7.185
131.639133063,9.702
15.419746259,9.275
156.564816969,7.272999999999999
2.939698905,5.395
12.079560228,14.138
260.317300444,2.473
10.974262172,14.605
15.020550071,17.97
25.775907675,6.283
4.656621041,11.112
152.265402939,26.093000000000004
4.923214471,4.805
3.140223643,3.376
5.661758683,8.547
2.737072648,6.401
138.505992369,8.487999999999998
9.506082827,3.974
6.190707484,4.1
13.810336599,6.106
20.603900222,32.729
47.966288534,8.272999999999998
100.008438257,6.991
3.58935152,4.174
16.477359963,6.705
271.644390134,11.46
5.653347684,19.922
68.58957846,8.606
23.035631123,19.543
5.158703004,14.617
53.579787785,2.345
21.543156635,2.387
2.835867148,4.428
13.222444543,2.86
7.259377622,7.371
5.351923075,2.226
4.313130867,5.017
16.294188651,9.249
17.782275082,39.301
20.562085028,4.8
6.968527153,6.146
257.50020732,13.735
34.364284245,1.97
122.751143251,4.153
7.595446218,3.512
3.467245113,6.437
30.831625097,4.318
17.6827529,11.187
36.027042078,5.565
313.034493762,4.706
10.48742713,7.375
2.081742989,2.985
21.059876642,14.85
13.033448038,20.752
4.016473738,2.808
12.411501928,5.953
39.661281814,5.967
5.029179547,2.539
210.481946074,7.394999999999999
29.80339392,3.602
2.826675115,8.838
17.911973425,10.158
77.611216409,5.482
12.739502049,3.378
39.750042273,2.63
9.987183561,6.667
21.539138605,1.57
11.242422539,3.471
4.119969154,4.738
10.1338495,2.13
9.419148767,2.511
5.925408839,2.249
3.324916694,17.221
58.811801935,2.925
17.876789292,6.549
215.753476883,4.598
9.265128556,4.09
159.298789503,13.9
9.00160699,81.54099999999998
8.641107569,9.627
89.642287335,4.748
3.220728068,3.646
157.574833689,5.065
3.141595912,3.7
5.214484713,2.289
16.150747043,2.465
254.103473817,4.41
3.841033749,8.102
79.348754722,5.186
13.212792127,7.353
40.199902872,2.434
4.150032696,2.403
6.321093492,15.046
45.870743106,28.253
7.642904904,1.803
269.866060332,3.234
3.023072315,6.675
13.973106957,13.125
6.082427194,3.4189999999999996
6.431290799,3.215
3.618513268,3.748
15.202845732,4.045
16.28801094,6.66
43.614096086,36.534
2.658701334,9.664
180.997623581,7.918999999999999
4.690512587,12.155
5.246682681,4.643
413.554728488,3.59
65.108900528,4.564
2.727923654,6.707
20.216706538,40.831
112.146419536,10.25
32.475420394,5.36
8.646005751,6.196
7.778999825,10.16
198.698146868,5.112
88.986074179,1.895
15.776033155,5.052
22.049906704,6.665
328.248698825,26.497
54.221036121,1.641
29.104747642,9.87
15.508664367,7.841999999999999
29.179596513,3.904
135.416643592,5.486
17.788255084,3.672
9.128879579,11.934
6.344620769,4.203
14.835956017,5.674
7.656718044,10.7
2.804557128,2.786
5.766050137,5.196
13.50801465,10.207
2.834981758,3.347
2.979866172,3.043
52.972084321,9.142
47.177136479,10.351
6.057032831,1.84
19.426493032,14.68
11.090273306,6.9
36.76617667,2.523
17.273793241,3.395
58.749849105,2.316
2.69850958,3.0
7.411438172,2.376
24.897203279,1.967
11.829228686,4.9
10.98076118,103.722
333.841600897,7.535999999999999
4.69022901,2.376
75.316373727,8.535999999999998
10.262716002,5.892
347.003185507,3.704
226.520030464,8.843
9.481678661,2.122
46.602784644,2.94
83.356464552,3.625
2.637302908,10.32
41.544957265,12.36
11.674572179,7.295
5.637727227,1.827
317.250487816,5.163
